Donor_Age,Blood_Type,Recency,Frequency,Monetary,Time,Location,donation_density,recency_score,high_frequency_flag,Target
48.0,4.0,26.0,37.0,14015.0,84.0,1.0,0.4404761852324264,0.037037037037037035,1,0
64.0,0.0,12.0,6.0,11302.0,85.0,2.0,0.07058823446366783,0.07692307692307693,0,1
46.0,1.0,23.0,16.0,3674.0,39.0,1.0,0.41025639973701544,0.041666666666666664,0,1
29.0,3.0,28.0,47.0,651.0,62.0,2.0,0.7580645039021855,0.034482758620689655,1,0
28.0,6.0,28.0,51.0,10540.0,68.0,0.0,0.7499999889705884,0.034482758620689655,1,0
23.0,5.0,9.0,6.0,3319.0,2.0,2.0,2.99999850000075,0.1,0,1
20.0,6.0,12.0,26.0,8347.0,2.0,0.0,12.99999350000325,0.07692307692307693,0,1
33.0,6.0,16.0,15.0,3006.0,60.0,0.0,0.2499999958333334,0.058823529411764705,0,1
63.0,1.0,1.0,38.0,2764.0,10.0,1.0,3.799999620000038,0.5,1,1
20.0,2.0,13.0,31.0,13632.0,90.0,0.0,0.344444440617284,0.07142857142857142,1,1
46.2,2.0,14.0,26.0,9421.0,21.0,2.0,1.2380951791383248,0.06666666666666667,0,1
26.0,7.0,24.0,48.0,5129.0,87.0,2.0,0.5517241315893778,0.04,1,0
24.0,2.0,2.0,45.0,454.0,47.0,0.0,0.9574467881394301,0.3333333333333333,1,0
19.0,6.0,29.0,23.0,13145.0,17.0,2.0,1.3529410968858178,0.03333333333333333,0,1
44.0,2.0,13.0,45.0,11003.0,73.0,1.0,0.6164383477200227,0.07142857142857142,1,0
49.0,6.0,3.0,18.0,1450.0,16.0,0.0,1.1249999296875044,0.25,0,1
48.0,0.0,13.0,24.0,13803.0,54.0,0.0,0.44444443621399193,0.07142857142857142,0,1
18.0,6.0,14.4,50.0,2979.0,16.0,1.0,3.124999804687512,0.06493506493506493,1,0
48.0,4.0,20.0,51.0,2880.0,17.0,1.0,2.999999823529422,0.047619047619047616,1,1
61.0,4.0,15.0,28.0,4898.0,81.0,1.0,0.345679008078037,0.0625,0,0
35.0,7.0,27.0,54.0,12196.0,6.0,2.0,8.999998500000249,0.03571428571428571,1,1
56.0,6.0,3.0,32.0,420.0,62.0,0.0,0.5161290239334029,0.25,1,0
