Donor_Age,Blood_Type,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Donation_Location,Target
48.0,B+,26.0,37.0,14015,84,Hospital,0
64.0,A+,12.0,6.0,11302,85,Mobile_Bus,1
46.0,A-,23.0,16.0,3674,39,Hospital,1
29.0,AB-,28.0,47.0,651,62,Mobile_Bus,0
28.0,O+,28.0,51.0,10540,68,Clinic,0
23.0,B-,9.0,6.0,3319,2,Mobile_Bus,1
20.0,O+,12.0,26.0,8347,2,Clinic,1
33.0,O+,16.0,15.0,3006,60,Clinic,1
63.0,A-,1.0,38.0,2764,10,Hospital,1
20.0,AB+,13.0,31.0,13632,90,Clinic,1
,AB+,14.0,26.0,9421,21,Mobile_Bus,1
26.0,O-,24.0,48.0,5129,87,Mobile_Bus,0
24.0,AB+,2.0,45.0,454,47,Clinic,0
19.0,O+,29.0,23.0,13145,17,Mobile_Bus,1
44.0,AB+,13.0,45.0,11003,73,Hospital,0
49.0,O+,3.0,18.0,1450,16,Clinic,1
48.0,A+,13.0,24.0,13803,54,Clinic,1
18.0,O+,,50.0,2979,16,Hospital,0
48.0,B+,20.0,51.0,2880,17,Hospital,1
61.0,B+,15.0,28.0,4898,81,Hospital,0
35.0,O-,27.0,54.0,12196,6,Mobile_Bus,1
56.0,O+,3.0,32.0,420,62,Clinic,0
39.0,A-,20.0,33.0,11263,86,Mobile_Bus,0
30.0,AB+,7.0,3.0,4944,33,Clinic,0
39.0,A-,13.0,36.0,12063,87,Mobile_Bus,1
29.0,O-,4.0,6.0,9039,46,Mobile_Bus,0
,A+,20.0,59.0,5696,82,Hospital,1
30.0,O+,,9.0,1213,47,Hospital,0
62.0,AB+,14.0,39.0,1788,94,Mobile_Bus,0
23.0,O+,2.0,34.0,13155,80,Mobile_Bus,1
26.0,O-,14.0,38.0,1819,4,Mobile_Bus,1
29.0,O-,23.0,46.0,7448,2,Mobile_Bus,1
26.0,A+,5.0,29.0,9095,61,Mobile_Bus,0
55.0,B+,25.0,39.0,5522,62,Clinic,0
29.0,AB-,1.0,7.0,3981,29,Mobile_Bus,1
41.0,B+,23.0,47.0,2828,37,Clinic,1
33.0,A+,25.0,47.0,5612,31,Mobile_Bus,1
64.0,A-,28.0,2.0,7603,25,Hospital,1
31.0,B-,24.0,6.0,11504,23,Hospital,1
23.0,B-,25.0,11.0,7005,16,Hospital,1
29.0,O-,12.0,26.0,9595,81,Mobile_Bus,0
33.0,A+,27.0,8.0,11044,25,Mobile_Bus,0
18.0,O+,4.0,45.0,3656,47,Mobile_Bus,0
62.0,B-,17.0,52.0,6941,6,Hospital,0
29.0,B+,12.0,43.0,5733,77,Hospital,1
61.0,O-,16.0,14.0,14205,73,Hospital,0
50.0,A-,15.0,59.0,2437,99,Clinic,0
34.0,AB+,3.0,17.0,1337,11,Hospital,0
57.0,A+,29.0,32.0,14453,75,Clinic,0
35.0,B+,6.0,49.0,9741,69,Clinic,0
62.0,A-,4.0,51.0,8982,63,Hospital,1
35.0,B-,17.0,35.0,13779,75,Hospital,1
43.0,AB+,18.0,49.0,4451,55,Hospital,1
30.0,B-,12.0,52.0,259,7,Mobile_Bus,0
28.0,AB+,20.0,55.0,14289,1,Clinic,1
58.0,O+,28.0,6.0,4398,59,Clinic,0
61.0,B-,21.0,50.0,12844,24,Clinic,0
35.0,AB+,14.0,,11804,3,Clinic,0
26.0,AB-,4.0,5.0,8120,54,Mobile_Bus,0
24.0,B-,8.0,3.0,3506,54,Clinic,1
55.0,A+,13.0,45.0,4390,33,Mobile_Bus,0
34.0,O+,6.0,35.0,11221,41,Clinic,0
60.0,B+,18.0,34.0,3682,91,Hospital,1
62.0,B+,1.0,15.0,6628,68,Hospital,1
47.0,O+,16.0,24.0,10593,84,Mobile_Bus,0
46.0,O+,6.0,37.0,12297,13,Hospital,0
22.0,B-,26.0,11.0,8331,6,Hospital,1
44.0,B+,6.0,1.0,9780,65,Mobile_Bus,0
31.0,AB-,17.0,58.0,2556,71,Hospital,1
60.0,O+,28.0,36.0,2878,93,Mobile_Bus,0
21.0,A-,14.0,8.0,11736,26,Clinic,0
57.0,A+,1.0,2.0,578,41,Clinic,1
42.0,A-,5.0,53.0,5177,8,Mobile_Bus,1
47.0,B+,29.0,22.0,12329,35,Hospital,1
28.0,A-,27.0,28.0,1803,39,Hospital,0
32.0,A-,13.0,20.0,8041,84,Mobile_Bus,1
64.0,O+,1.0,14.0,1816,41,Clinic,0
61.0,A+,9.0,44.0,14861,30,Clinic,0
18.0,B-,2.0,42.0,14774,55,Clinic,0
31.0,O-,7.0,32.0,14876,79,Clinic,0
23.0,B-,23.0,46.0,1739,17,Hospital,0
60.0,B-,17.0,40.0,10152,72,Clinic,1
62.0,B+,26.0,36.0,4820,46,Mobile_Bus,0
,AB-,17.0,13.0,4614,23,Mobile_Bus,1
62.0,AB+,26.0,36.0,8412,25,Clinic,0
39.0,B+,15.0,56.0,1630,54,Hospital,0
31.0,A-,24.0,56.0,10416,22,Mobile_Bus,0
24.0,B+,21.0,30.0,999999,61,Hospital,1
29.0,O-,8.0,26.0,10206,51,Hospital,0
24.0,A+,16.0,44.0,1786,12,Hospital,1
29.0,B-,11.0,56.0,10889,72,Mobile_Bus,1
30.0,A-,24.0,26.0,7412,82,Clinic,0
34.0,O-,14.0,47.0,11976,35,Mobile_Bus,0
51.0,O-,1.0,48.0,8581,90,Hospital,0
40.0,B-,16.0,25.0,3055,85,Mobile_Bus,1
49.0,B-,14.0,56.0,14632,58,Mobile_Bus,1
21.0,B-,5.0,48.0,12209,76,Clinic,1
47.0,B+,23.0,43.0,3974,32,Hospital,0
22.0,O+,14.0,37.0,3431,85,Clinic,0
31.0,B-,14.0,59.0,366,71,Hospital,0
53.0,O+,19.0,51.0,3087,81,Hospital,0
,B+,,10.0,6960,12,Mobile_Bus,1
30.0,B+,17.0,39.0,8880,17,Hospital,0
22.0,B-,1.0,,12337,12,Hospital,0
27.0,O-,23.0,,10494,78,Mobile_Bus,0
49.0,AB-,2.0,3.0,1506,84,Hospital,1
43.0,O+,19.0,18.0,3409,46,Mobile_Bus,1
58.0,O-,14.0,45.0,3542,91,Hospital,1
59.0,A+,2.0,48.0,7584,72,Hospital,1
39.0,O-,12.0,47.0,11907,50,Hospital,1
54.0,B+,,9.0,14809,14,Clinic,0
64.0,A+,12.0,22.0,14245,36,Hospital,1
58.0,O-,21.0,36.0,12817,43,Clinic,0
31.0,O+,16.0,12.0,1193,71,Mobile_Bus,1
18.0,A-,10.0,5.0,10096,78,Clinic,0
25.0,B+,18.0,11.0,12056,67,Mobile_Bus,0
54.0,B+,18.0,48.0,3138,91,Mobile_Bus,1
37.0,B-,6.0,7.0,6952,53,Hospital,0
33.0,A-,6.0,43.0,7694,25,Mobile_Bus,0
40.0,B-,29.0,36.0,891,91,Mobile_Bus,1
50.0,A+,3.0,35.0,5434,76,Clinic,1
49.0,B-,27.0,,2269,85,Hospital,0
51.0,O-,26.0,24.0,999999,33,Hospital,0
60.0,A-,4.0,57.0,11213,14,Mobile_Bus,0
23.0,AB+,9.0,4.0,13565,94,Clinic,1
33.0,AB+,5.0,20.0,10068,42,Hospital,1
39.0,B-,24.0,47.0,2657,2,Hospital,1
58.0,B-,26.0,42.0,9108,5,Mobile_Bus,1
57.0,AB-,9.0,51.0,9050,44,Hospital,0
26.0,AB-,12.0,16.0,12257,86,Hospital,0
58.0,B-,29.0,45.0,6783,18,Hospital,1
,AB+,29.0,32.0,5732,86,Hospital,1
39.0,A-,7.0,8.0,7796,30,Mobile_Bus,0
37.0,AB+,7.0,19.0,902,1,Clinic,1
48.0,AB-,25.0,24.0,2014,21,Hospital,0
38.0,O-,19.0,,586,76,Hospital,1
,O-,2.0,7.0,1196,73,Mobile_Bus,1
64.0,A+,,4.0,3225,17,Mobile_Bus,0
40.0,O-,5.0,39.0,9466,71,Clinic,0
30.0,AB-,2.0,11.0,9579,76,Clinic,0
55.0,AB-,4.0,44.0,4345,9,Hospital,1
21.0,A-,10.0,55.0,14363,63,Mobile_Bus,1
32.0,O+,15.0,26.0,9746,71,Hospital,0
19.0,B+,,36.0,10918,97,Hospital,1
34.0,O+,,4.0,7621,12,Clinic,1
37.0,O+,21.0,59.0,8740,11,Clinic,1
44.0,A+,20.0,39.0,1097,25,Mobile_Bus,0
34.0,AB+,11.0,16.0,7955,97,Clinic,1
31.0,B+,2.0,11.0,13650,59,Hospital,0
59.0,O-,,47.0,617,82,Mobile_Bus,1
22.0,A+,2.0,45.0,14020,57,Mobile_Bus,1
56.0,O+,28.0,13.0,14083,93,Hospital,1
26.0,B+,26.0,45.0,8318,15,Clinic,0
43.0,O-,,2.0,4569,83,Clinic,1
59.0,B+,19.0,42.0,7364,28,Mobile_Bus,1
27.0,A-,10.0,56.0,4270,54,Hospital,0
62.0,AB-,22.0,49.0,9481,84,Mobile_Bus,0
33.0,A-,16.0,,769,26,Hospital,1
37.0,AB+,28.0,11.0,6939,14,Clinic,1
53.0,B-,14.0,16.0,1399,55,Hospital,1
20.0,A+,29.0,39.0,6874,58,Clinic,0
41.0,A+,29.0,34.0,2108,44,Hospital,1
24.0,AB-,20.0,,9877,36,Hospital,0
25.0,AB+,14.0,16.0,3016,59,Hospital,0
48.0,AB+,16.0,44.0,7250,20,Mobile_Bus,1
39.0,AB-,6.0,57.0,8799,86,Mobile_Bus,1
46.0,B+,1.0,23.0,7508,98,Clinic,1
21.0,A-,15.0,14.0,8273,7,Clinic,1
29.0,B-,24.0,53.0,12129,4,Mobile_Bus,1
41.0,AB+,21.0,48.0,3962,6,Hospital,1
22.0,A+,11.0,,9755,89,Hospital,1
34.0,B-,7.0,19.0,12219,51,Mobile_Bus,0
30.0,A-,5.0,48.0,10660,35,Mobile_Bus,0
45.0,AB-,6.0,33.0,8164,9,Clinic,1
